HGNC,ENTREZ_ID,OMIM_ID,ENSEMBL_ID,ENSP,ASD
PPP1R1B,84152,604399,ENSG00000131771,ENSP00000254079,1
FMO5,2330,603957,ENSG00000131781,ENSP00000254090,0
PRKAB2,5565,602741,ENSG00000131791,ENSP00000254101,0
FUS,2521,137070,ENSG00000089280,ENSP00000254108,0
ZNF132,7691,604074,ENSG00000131849,ENSP00000254166,0
USP29,57663,609546,ENSG00000131864,ENSP00000254181,0
CHSY1,22856,608183,ENSG00000131873,ENSP00000254190,0
SNRPA1,6627,603521,ENSG00000131876,ENSP00000254193,0
NR0B2,8431,604630,ENSG00000131910,ENSP00000254227,0
THAP1,55145,609520,ENSG00000131931,ENSP00000254250,0
RHPN2,85415,617932,ENSG00000131941,ENSP00000254260,0
LGALS3,3958,153619,ENSG00000131981,ENSP00000254301,0
DNAJB1,3337,604572,ENSG00000132002,ENSP00000254322,0
TRIM21,6737,109092,ENSG00000132109,ENSP00000254436,0
WDR7,23335,613473,ENSG00000091157,ENSP00000254442,0
SMARCC1,6599,601732,ENSG00000173473,ENSP00000254480,0
SLC6A11,6538,607952,ENSG00000132164,ENSP00000254488,0
NUP210,23225,607703,ENSG00000132182,ENSP00000254508,0
HSD17B7,51478,606756,ENSG00000132196,ENSP00000254521,0
EMILIN2,84034,608928,ENSG00000132205,ENSP00000254528,0
DNHD1,144132,617277,ENSG00000179532,ENSP00000254579,0
RRP8,23378,615818,ENSG00000132275,ENSP00000254605,0
TIMM10B,26515,607388,ENSG00000132286,ENSP00000254616,0
EFR3A,23167,611798,ENSG00000132294,ENSP00000254624,1
PTCD3,55037,614918,ENSG00000132300,ENSP00000254630,0
PER2,8864,603426,ENSG00000132326,ENSP00000254657,1
RAMP1,10267,605153,ENSG00000132329,ENSP00000254661,0
SCLY,51540,611056,ENSG00000132330,ENSP00000254663,0
PTPRE,5791,600926,ENSG00000132334,ENSP00000254667,0
CARD6,84674,609986,ENSG00000132357,ENSP00000254691,0
RPA1,6117,179835,ENSG00000132383,ENSP00000254719,0
SERPINF1,5176,172860,ENSG00000132386,ENSP00000254722,0
EEFSEC,60678,607695,ENSG00000132394,ENSP00000254730,0
COQ3,51805,605196,ENSG00000132423,ENSP00000254759,0
POPDC3,64208,605824,ENSG00000132429,ENSP00000254765,0
LANCL2,55915,612919,ENSG00000132434,ENSP00000254770,0
GRSF1,2926,604851,ENSG00000132463,ENSP00000254799,0
UTP3,57050,611614,ENSG00000132467,ENSP00000254803,0
H3F3B,3021,601058,ENSG00000132475,ENSP00000254810,0
TRIM47,91107,611041,ENSG00000132481,ENSP00000254816,0
KDM6B,23135,611577,ENSG00000132510,ENSP00000254846,1
GUCY2D,3000,600179,ENSG00000132518,ENSP00000254854,0
CLEC10A,10462,605999,ENSG00000132514,ENSP00000254868,0
MATN2,4147,602108,ENSG00000132561,ENSP00000254898,0
BRD8,10902,602848,ENSG00000112983,ENSP00000254900,0
ERAL1,26284,607435,ENSG00000132591,ENSP00000254928,0
TERF2,7014,602027,ENSG00000132604,ENSP00000254942,1
VPS4A,27183,609982,ENSG00000132612,ENSP00000254950,0
JAG1,182,601920,ENSG00000101384,ENSP00000254958,0
HSPA12B,116835,610702,ENSG00000132622,ENSP00000254963,0
SNAP25,6616,600322,ENSG00000132639,ENSP00000254976,1
NXT1,29107,605811,ENSG00000132661,ENSP00000254998,0
RIN2,54453,610222,ENSG00000132669,ENSP00000255006,0
SSTR4,6754,182454,ENSG00000132671,ENSP00000255008,0
CRP,1401,123260,ENSG00000132693,ENSP00000255030,0
APCS,325,104770,ENSG00000132703,ENSP00000255040,0
IGHMBP2,3508,600502,ENSG00000132740,ENSP00000255078,0
ACY3,91703,614413,ENSG00000132744,ENSP00000255082,0
ALDH3B2,222,601917,ENSG00000132746,ENSP00000255084,0
DPH2,1802,603456,ENSG00000132768,ENSP00000255108,0
NASP,4678,603185,ENSG00000132780,ENSP00000255120,0
DMGDH,29958,605849,ENSG00000132837,ENSP00000255189,0
BHMT2,23743,605932,ENSG00000132840,ENSP00000255192,0
AP3B1,8546,603401,ENSG00000132842,ENSP00000255194,0
ZBED3,84327,615250,ENSG00000132846,ENSP00000255198,0
SYT4,6860,600103,ENSG00000132872,ENSP00000255224,0
SLC14A2,8170,601611,ENSG00000132874,ENSP00000255226,0
NMUR2,56923,605108,ENSG00000132911,ENSP00000255262,0
PDE6A,5145,180071,ENSG00000132915,ENSP00000255266,0
USPL1,10208,617470,ENSG00000132952,ENSP00000255304,0
XPO4,64328,611449,ENSG00000132953,ENSP00000255305,0
RNF17,56163,605793,ENSG00000132972,ENSP00000255324,0
CHRM3,1131,118494,ENSG00000133019,ENSP00000255380,1
MYH4,4622,160742,ENSG00000264424,ENSP00000255381,1
PEMT,10400,602391,ENSG00000133027,ENSP00000255389,0
SCO1,6341,603644,ENSG00000133028,ENSP00000255390,0
CHI3L1,1116,601525,ENSG00000133048,ENSP00000255409,0
MYBPH,4608,160795,ENSG00000133055,ENSP00000255416,0
DCLK1,9201,604742,ENSG00000133083,ENSP00000255448,0
CCNA1,8900,604036,ENSG00000133101,ENSP00000255465,0
RFXAP,5994,601861,ENSG00000133111,ENSP00000255476,0
RNF128,79589,300439,ENSG00000133135,ENSP00000255499,0
BTBD2,55643,608531,ENSG00000133243,ENSP00000255608,0
HSPBP1,23640,612939,ENSG00000133265,ENSP00000255631,0
CSNK1G2,1455,602214,ENSG00000133275,ENSP00000255641,0
RTTN,25914,610436,ENSG00000176225,ENSP00000255674,0
MACROD1,28992,610400,ENSG00000133315,ENSP00000255681,0
FOPNL,123811,617149,ENSG00000133393,ENSP00000255759,0
MED10,84246,612382,ENSG00000133398,ENSP00000255764,0
SEC14L4,284904,612825,ENSG00000133488,ENSP00000255858,0
PI4KA,5297,600286,ENSG00000241973,ENSP00000255882,0
GIMAP4,55303,608087,ENSG00000133574,ENSP00000255945,0
MKRN1,23608,607754,ENSG00000133606,ENSP00000255977,0
NTS,4922,162650,ENSG00000133636,ENSP00000256010,0
BTG1,694,109580,ENSG00000133639,ENSP00000256015,0
KRAS,3845,190070,ENSG00000133703,ENSP00000256078,0
IPO8,10526,605600,ENSG00000133704,ENSP00000256079,0
PMP2,5375,170715,ENSG00000147588,ENSP00000256103,0
FABP4,2167,600434,ENSG00000170323,ENSP00000256104,0
LYVE1,10894,605702,ENSG00000133800,ENSP00000256178,0
MICALCL,84953,612355,ENSG00000133816,ENSP00000256186,0
SBF2,81846,607697,ENSG00000133812,ENSP00000256190,0
MICAL2,9645,608881,ENSG00000133816,ENSP00000256194,0
RRAS2,22800,600098,ENSG00000133818,ENSP00000256196,0
TEX15,56154,605795,ENSG00000133863,ENSP00000256246,0
SARAF,51669,614768,ENSG00000133872,ENSP00000256255,0
DUSP26,78986,618368,ENSG00000133878,ENSP00000256261,0
UNC79,57578,616884,ENSG00000133958,ENSP00000256339,1
CATSPERB,79820,611169,ENSG00000133962,ENSP00000256343,0
SYNJ2BP,55333,609411,ENSG00000213463,ENSP00000256366,0
TTC9,23508,610488,ENSG00000133985,ENSP00000256367,0
EIF2S1,1965,603907,ENSG00000134001,ENSP00000256383,0
ADAM20,8748,603712,ENSG00000134007,ENSP00000256389,0
ELP3,55140,612722,ENSG00000134014,ENSP00000256398,0
PEBP4,157310,612473,ENSG00000134020,ENSP00000256404,0
ADAMDEC1,27299,606393,ENSG00000134028,ENSP00000256412,0
MBD2,8932,603547,ENSG00000134046,ENSP00000256429,0
IER3IP1,51124,609382,ENSG00000134049,ENSP00000256433,0
MRPS36,92259,611996,ENSG00000134056,ENSP00000256441,0
CCNB1,891,123836,ENSG00000134057,ENSP00000256442,0
CDK7,1022,601955,ENSG00000134058,ENSP00000256443,0
CD180,4064,602226,ENSG00000134061,ENSP00000256447,0
IRAK2,3656,603304,ENSG00000134070,ENSP00000256458,0
CAMK1,8536,604998,ENSG00000134072,ENSP00000256460,0
VHL,7428,608537,ENSG00000134086,ENSP00000256474,0
BHLHE40,8553,604256,ENSG00000134107,ENSP00000256495,0
ARL8B,55207,616596,ENSG00000134108,ENSP00000256496,0
EDEM1,9695,607673,ENSG00000134109,ENSP00000256497,0
CHL1,10752,607416,ENSG00000134121,ENSP00000256509,0
DPH6,89978,618391,ENSG00000134146,ENSP00000256538,0
KATNBL1,79768,616235,ENSG00000134152,ENSP00000256544,0
AMPD2,271,102771,ENSG00000116337,ENSP00000256578,0
TSHB,7252,188540,ENSG00000134200,ENSP00000256592,0
GSTM5,2949,138385,ENSG00000134201,ENSP00000256593,0
GSTM3,2947,138390,ENSG00000134202,ENSP00000256594,0
SORT1,6272,602458,ENSG00000134243,ENSP00000256637,0
LAMTOR5,10542,608521,ENSG00000134248,ENSP00000256644,0
NOTCH2,4853,600275,ENSG00000134250,ENSP00000256646,0
TRIM45,80263,609318,ENSG00000134253,ENSP00000256649,0
ARF3,377,103190,ENSG00000134287,ENSP00000256682,0
SLC38A2,54407,605180,ENSG00000134294,ENSP00000256689,0
KIDINS220,57498,615759,ENSG00000134313,ENSP00000256707,0
CMPK2,129607,611787,ENSG00000134326,ENSP00000256722,0
ANO3,63982,610110,ENSG00000134343,ENSP00000256737,0
FST,10468,136470,ENSG00000134363,ENSP00000256759,0
CFHR5,81494,608593,ENSG00000134389,ENSP00000256785,0
ERN2,10595,604034,ENSG00000134398,ENSP00000256797,0
NARS,4677,108410,ENSG00000134440,ENSP00000256854,0
GRP,2922,137260,ENSG00000134443,ENSP00000256857,0
CCNH,902,601953,ENSG00000134480,ENSP00000256897,0
HRH4,59340,606792,ENSG00000134489,ENSP00000256906,0
CABLES1,91768,609194,ENSG00000134508,ENSP00000256925,0
